Job,Rank,Resume_ID,Similarity_Score
Job_1,1,79,0.13871853330981865
Job_1,2,16,0.12959513975483625
Job_1,3,35,0.11386521801250576
Job_1,4,70,0.09964023748635528
Job_1,5,92,0.07574167430209812
Job_2,1,28,0.1404501842292307
Job_2,2,92,0.09662662062879367
Job_2,3,35,0.09060644964885987
Job_2,4,79,0.0737344081145535
Job_2,5,76,0.07100059845014565
Job_3,1,79,0.09606031058457987
Job_3,2,34,0.0804435754928253
Job_3,3,40,0.07628736940512279
Job_3,4,87,0.07212620947020691
Job_3,5,16,0.06408230608096396
Job_4,1,28,0.12495080118726591
Job_4,2,9,0.11737066132923893
Job_4,3,20,0.10617012690112841
Job_4,4,22,0.09166432502694329
Job_4,5,79,0.08768119689445183
Job_5,1,43,0.058014523701666265
Job_5,2,35,0.05446199033217862
Job_5,3,41,0.0541824709242917
Job_5,4,92,0.05202019730234323
Job_5,5,28,0.05122628759230822
Job_6,1,16,0.14921264027455444
Job_6,2,83,0.14056300490286633
Job_6,3,92,0.11973765961972109
Job_6,4,77,0.11369848266280283
Job_6,5,31,0.0837785387705077
Job_7,1,28,0.17958509407185502
Job_7,2,79,0.15728403080331083
Job_7,3,35,0.15632826576370554
Job_7,4,51,0.13228239758625118
Job_7,5,92,0.1310357118369352
Job_8,1,70,0.1177599843846602
Job_8,2,92,0.09054663225340157
Job_8,3,28,0.06592781947954107
Job_8,4,35,0.04587294512057371
Job_8,5,26,0.0382642898007956
Job_9,1,20,0.0674231794781883
Job_9,2,6,0.062485022985521284
Job_9,3,92,0.061055219049076646
Job_9,4,9,0.05617601474359034
Job_9,5,76,0.054275397353615716
Job_10,1,70,0.2757255416127285
Job_10,2,28,0.18624047921847797
Job_10,3,35,0.16496407037178595
Job_10,4,41,0.11965886010110219
Job_10,5,79,0.10238112617066616
